Year,Anomaly,Region
187103,-0.38,africa
187104,0.12,africa
187105,-0.43,africa
187106,-0.08,africa
187107,-0.38,africa
187108,0.03,africa
187109,-0.65,africa
187110,-0.63,africa
187111,-0.24,africa
187112,0.72,africa
187201,-0.59,africa
187202,0.28,africa
187203,0.3,africa
187204,-0.39,africa
187205,-0.47,africa
187206,-0.33,africa
187207,-0.47,africa
187208,-0.04,africa
187209,0.04,africa
187210,-0.48,africa
187211,-0.94,africa
187212,-0.2,africa
187301,0.35,africa
187302,-0.22,africa
187303,-0.31,africa
187304,0.03,africa
187305,0.14,africa
187306,-0.02,africa
187307,-0.48,africa
187308,-0.28,africa
187309,0.16,africa
187310,-0.15,africa
187311,-0.05,africa
187312,-0.68,africa
187401,-0.32,africa
187402,-0.24,africa
187403,-0.85,africa
187404,-0.42,africa
187405,-0.8,africa
187406,-0.05,africa
187407,-1.4,africa
187408,-1.08,africa
187409,-0.61,africa
187410,-0.47,africa
187411,-0.21,africa
187412,0.3,africa
187501,-0.3,africa
187502,0.01,africa
187503,0.19,africa
187504,-0.45,africa
187505,-0.91,africa
187506,0.41,africa
187507,-0.59,africa
187508,-0.19,africa
187509,-0.86,africa
187510,-0.78,africa
187511,-1.39,africa
187512,-1.17,africa
187601,0.07,africa
187602,0.02,africa
187603,0.05,africa
187604,-0.22,africa
187605,-0.74,africa
187606,0.31,africa
187607,-0.65,africa
187608,-0.16,africa
187609,-0.29,africa
187610,0.28,africa
187611,-0.75,africa
187612,0.12,africa
187701,0.19,africa
187702,-0.2,africa
187703,-0.16,africa
187704,0.03,africa
187705,-0.09,africa
187706,0.38,africa
187707,0.63,africa
187708,0.06,africa
187709,0.75,africa
187710,0.26,africa
187711,-0.49,africa
187712,-0.24,africa
187801,0.63,africa
187802,-0.33,africa
187803,0.06,africa
187804,0.13,africa
187805,0.16,africa
187806,0.51,africa
187807,-0.18,africa
187808,-0.71,africa
187809,-0.29,africa
187810,-0.32,africa
187811,-0.34,africa
187812,-0.3,africa
187901,0.41,africa
187902,-0.04,africa
187903,-0.67,africa
187904,0.13,africa
187905,-0.56,africa
187906,-0.33,africa
187907,-1.08,africa
187908,-0.97,africa
187909,-0.29,africa
187910,-0.98,africa
187911,-0.58,africa
187912,-0.06,africa
188001,-0.26,africa
188002,-0.35,africa
188003,-1.01,africa
188004,0.09,africa
188005,-0.43,africa
188006,-0.1,africa
188007,0.31,africa
188008,-0.37,africa
188009,-0.38,africa
188010,-0.06,africa
188011,0.09,africa
188012,-0.05,africa
188101,1.97,africa
188102,0.28,africa
188103,0.02,africa
188104,-0.1,africa
188105,0.16,africa
188106,-0.11,africa
188107,0.5,africa
188108,0.21,africa
188109,-0.07,africa
188110,0.14,africa
188111,-0.11,africa
188112,0.5,africa
188201,0.03,africa
188202,-0.65,africa
188203,-0.54,africa
188204,-0.14,africa
188205,-0.04,africa
188206,-0.55,africa
188207,-0.51,africa
188208,-0.11,africa
188209,-0.22,africa
188210,-0.3,africa
188211,-0.83,africa
188212,0.03,africa
188301,0.21,africa
188302,-0.69,africa
188303,-0.34,africa
188304,0.23,africa
188305,0.41,africa
188306,0.75,africa
188307,-0.06,africa
188308,-0.78,africa
188309,-0.75,africa
188310,-1.1,africa
188311,-0.67,africa
188312,-0.99,africa
188401,-0.51,africa
188402,-0.03,africa
188403,-0.45,africa
188404,-0.14,africa
188405,-0.16,africa
188406,-0.4,africa
188407,-0.6,africa
188408,-1.24,africa
188409,-0.82,africa
188410,-0.74,africa
188411,-0.76,africa
188412,0.38,africa
188501,0.6,africa
188502,0.2,africa
188503,-0.74,africa
188504,-0.51,africa
188505,0.71,africa
188506,-0.31,africa
188507,0.45,africa
188508,1.05,africa
188509,-0.02,africa
188510,-0.23,africa
188511,-0.5,africa
188512,-0.21,africa
188601,0.39,africa
188602,0.54,africa
188603,-0.67,africa
188604,0.05,africa
188605,-0.52,africa
188606,-0.03,africa
188607,0.3,africa
188608,-0.04,africa
188609,-0.19,africa
188610,0.12,africa
188611,-0.46,africa
188612,-0.95,africa
188701,-0.55,africa
188702,-0.88,africa
188703,-0.42,africa
188704,-0.38,africa
188705,-0.29,africa
188706,-0.56,africa
188707,-0.41,africa
188708,0.67,africa
188709,-0.04,africa
188710,-0.23,africa
188711,-0.47,africa
188712,-0.47,africa
188801,0.21,africa
188802,0.24,africa
188803,0.41,africa
188804,-0.44,africa
188805,0.04,africa
188806,-0.11,africa
188807,0.73,africa
188808,0.1,africa
188809,-0.64,africa
188810,0.37,africa
188811,-0.22,africa
188812,-0.39,africa
188901,0.46,africa
188902,0.49,africa
188903,0.13,africa
188904,0.38,africa
188905,1.36,africa
188906,0.46,africa
188907,0.53,africa
188908,0.6,africa
188909,0.21,africa
188910,0.31,africa
188911,-0.48,africa
188912,-0.12,africa
189001,-1.12,africa
189002,-0.35,africa
189003,-0.86,africa
189004,-1.39,africa
189005,0.04,africa
189006,-0.75,africa
189007,-0.1,africa
189008,0.04,africa
