Date,Anomaly,Region
187406,0.09,asia
187407,-0.39,asia
187408,-0.19,asia
187409,0.15,asia
187410,-0.9,asia
187411,-0.11,asia
187412,0.15,asia
187501,0.08,asia
187502,-0.17,asia
187503,0.48,asia
187504,0.11,asia
187505,-0.11,asia
187506,0.17,asia
187507,0.11,asia
187508,-0.49,asia
187509,-1.06,asia
187510,-1.29,asia
187511,-1.26,asia
187512,-1.94,asia
187601,-0.35,asia
187602,-0.9,asia
187603,0.36,asia
187604,-0.64,asia
187605,-0.84,asia
187606,0.13,asia
187607,-0.37,asia
187608,-0.35,asia
187609,-1,asia
187610,-0.17,asia
187611,-0.06,asia
187612,-1.62,asia
187701,0.04,asia
187702,-1.21,asia
187703,0.86,asia
187704,-0.97,asia
187705,-0.26,asia
187706,-0.13,asia
187707,0.23,asia
187708,0.03,asia
187709,-0.35,asia
187710,-0.04,asia
187711,0.43,asia
187712,-1.68,asia
187801,-1.61,asia
187802,-0.34,asia
187803,1.24,asia
187804,-0.69,asia
187805,-0.57,asia
187806,0.1,asia
187807,0.47,asia
187808,0.07,asia
187809,0.26,asia
187810,-0.12,asia
187811,-1.2,asia
187812,-0.43,asia
187901,-0.4,asia
187902,-0.45,asia
187903,0.14,asia
187904,-0.94,asia
187905,-0.16,asia
187906,0.07,asia
187907,0.59,asia
187908,-0.32,asia
187909,-0.35,asia
187910,-0.06,asia
187911,-0.84,asia
187912,-0.41,asia
188001,-1.73,asia
188002,-2.18,asia
188003,0.13,asia
188004,-1.04,asia
188005,0.12,asia
188006,0.1,asia
188007,-0.59,asia
188008,0.21,asia
188009,-0.57,asia
188010,-1.04,asia
188011,0.57,asia
188012,0.75,asia
188101,0.47,asia
188102,-0.38,asia
188103,-0.56,asia
188104,0.24,asia
188105,-0.14,asia
188106,-1.15,asia
188107,-0.05,asia
188108,-0.25,asia
188109,-0.79,asia
188110,-0.67,asia
188111,-0.77,asia
188112,-1.04,asia
188201,0.75,asia
188202,-0.01,asia
188203,0.04,asia
188204,-0.68,asia
188205,0.07,asia
188206,-0.68,asia
188207,-0.58,asia
188208,-0.25,asia
188209,-0.37,asia
188210,-2.08,asia
188211,-1.32,asia
188212,-2.18,asia
188301,-1.11,asia
188302,-1.54,asia
188303,0.26,asia
188304,-0.73,asia
188305,0.03,asia
188306,-0.12,asia
188307,-0.17,asia
188308,-0.32,asia
188309,-0.88,asia
188310,-0.45,asia
188311,-1.61,asia
188312,0.31,asia
188401,0.48,asia
188402,-0.71,asia
188403,-2.38,asia
188404,-2.07,asia
188405,-1.06,asia
188406,-0.82,asia
188407,-0.48,asia
188408,-1.24,asia
188409,-1.26,asia
188410,-0.84,asia
188411,-1.3,asia
188412,0.22,asia
188501,-2.1,asia
188502,-1.57,asia
188503,-0.26,asia
188504,-1.66,asia
188505,-1.04,asia
188506,-0.32,asia
188507,-0.41,asia
188508,-0.63,asia
188509,-0.78,asia
188510,-1,asia
188511,-1.44,asia
188512,0.08,asia
188601,-0.18,asia
188602,-2.11,asia
188603,-1.41,asia
188604,-0.7,asia
188605,-0.66,asia
188606,-0.94,asia
188607,-0.15,asia
188608,-0.6,asia
188609,-0.33,asia
188610,-1.16,asia
188611,-0.84,asia
188612,1.31,asia
188701,-2.23,asia
188702,-0.17,asia
188703,-0.3,asia
188704,-0.03,asia
188705,-0.43,asia
188706,-0.44,asia
188707,0.03,asia
188708,-0.93,asia
188709,0.01,asia
188710,-0.49,asia
188711,-0.25,asia
188712,-0.36,asia
188801,0.18,asia
188802,-1.85,asia
188803,-0.52,asia
188804,-0.48,asia
188805,-0.56,asia
188806,-0.24,asia
188807,0.14,asia
188808,-0.14,asia
188809,-0.64,asia
188810,-0.06,asia
188811,-0.12,asia
188812,-1.24,asia
188901,-2.14,asia
188902,1.12,asia
188903,-0.47,asia
188904,-0.04,asia
188905,-0.45,asia
188906,0.06,asia
188907,-0.09,asia
188908,-0.09,asia
188909,-0.29,asia
188910,-1.56,asia
188911,-1.7,asia
188912,-1.32,asia
189001,-1,asia
189002,-0.75,asia
189003,-1.14,asia
189004,-0.2,asia
189005,-0.93,asia
189006,-0.18,asia
189007,-0.17,asia
189008,-0.45,asia
189009,-0.31,asia
189010,0.13,asia
189011,-2.11,asia
189012,-1.41,asia
189101,-1.41,asia
189102,-1.02,asia
189103,0.04,asia
189104,-1.29,asia
189105,-0.48,asia
189106,-0.37,asia
189107,-0.43,asia
189108,-0.38,asia
189109,-0.58,asia
189110,-0.84,asia
189111,-1.58,asia
189112,-0.4,asia
189201,-0.91,asia
189202,-0.78,asia
189203,-1.96,asia
189204,-0.99,asia
189205,-0.07,asia
189206,0.2,asia
189207,-0.25,asia
189208,-0.46,asia
189209,-0.3,asia
189210,-0.43,asia
189211,-1.63,asia
189212,-1.01,asia
189301,-3.18,asia
189302,-2.09,asia
189303,0.28,asia
189304,0.56,asia
189305,-0.53,asia
189306,0.13,asia
189307,0.17,asia
189308,-0.5,asia
189309,-0.28,asia
189310,-0.4,asia
189311,-0.06,asia
189312,-1.05,asia
189401,-1.31,asia
189402,0.94,asia
189403,0.07,asia
189404,-0.84,asia
189405,-0.03,asia
189406,-0.55,asia
189407,-0.15,asia
189408,-0.03,asia
189409,-0.39,asia
189410,-0.82,asia
189411,-0.99,asia
189412,-1.01,asia
189501,-2.52,asia
189502,-1.88,asia
189503,-0.34,asia
189504,-0.74,asia
189505,-0.84,asia
189506,-0.43,asia
189507,-0.07,asia
189508,-0.38,asia
189509,-0.1,asia
189510,-0.15,asia
189511,-0.26,asia
189512,-0.58,asia
189601,0.1,asia
189602,-0.49,asia
189603,-1.05,asia
189604,-1.76,asia
189605,-0.45,asia
189606,0.15,asia
189607,-0.34,asia
189608,-0.1,asia
189609,-0.18,asia
189610,0.28,asia
189611,-0.3,asia
189612,-1.42,asia
189701,-1.38,asia
189702,-1.02,asia
189703,-1.29,asia
189704,-0.22,asia
189705,0.18,asia
189706,-0.35,asia
189707,0.24,asia
189708,-0.07,asia
189709,0.09,asia
189710,-0.33,asia
189711,-0.08,asia
189712,-0.71,asia
189801,0.16,asia
189802,-0.81,asia
189803,-3.35,asia
189804,-1.38,asia
189805,-0.62,asia
189806,-0.43,asia
189807,-0.04,asia
189808,-0.12,asia
189809,-0.26,asia
189810,-0.96,asia
189811,-0.64,asia
189812,0.35,asia
189901,0.07,asia
189902,-0.07,asia
